DateTime,AddedIPs,RemovedIPs
1594177731,91,994
1594179652,78,1115
1594181693,115,988
1594183740,100,1402
1594185627,83,908
1594187538,77,943
1594189490,90,924
1594191407,66,1005
1594193292,90,840
1594195446,72,1019
1594197374,64,947
1594199353,61,1042
1594201246,72,1077
1594203139,73,916
1594205092,87,1085
1594206981,84,812
1594208924,90,981
1594210835,101,821
1594212770,76,1053
1594214689,65,885
1594216607,61,843
1594218509,67,804
1594220644,61,1052
1594222603,51,1586
1594224503,56,596
1594226416,58,518
1594228368,81,579
1594230256,73,653
1594232177,84,604
1594234139,95,699
1594236117,97,633
1594237976,96,664
1594239859,82,579
1594241807,89,798
1594243703,77,528
1594245639,64,738
1594247564,75,613
1594249458,78,800
1594251369,89,374
1594253293,62,95
1594255214,59,195
1594257171,65,102
1594259063,71,117
1594261005,70,93
1594262896,60,99
1594264844,61,104
1594266742,68,107
1594268664,89,129
1594270633,64,89
1594272514,62,92
1594274646,78,111
1594276820,90,113
1594278738,62,86
1594280681,64,99
1594282654,77,103
1594284501,84,74
1594286507,65,94
1594288339,58,104
1594290257,82,83
1594292251,74,103
1594294098,138,89
1594296152,195,99
1594297957,111,116
1594299873,145,84
1594301802,84,84
1594303703,57,67
1594305621,98,83
1594307834,86,81
1594309698,233,65
1594311632,68,58
1594313866,110,83
1594315720,93,76
1594317849,84,161
1594319655,136,97
1594321533,115,86
1594323401,135,90
1594325314,137,81
1594327221,108,85
1594329161,116,94
1594331055,96,72
1594332982,86,68
1594334923,87,89
1594336815,75,100
1594338761,94,63
1594340675,109,76
1594342589,116,75
1594344497,96,75
1594346572,97,88
1594348429,128,87
1594350504,93,70
1594352435,109,67
1594354369,76,74
1594356266,88,62
1594358190,83,89
1594360125,104,77
1594362035,88,84
1594363935,89,75
1594365889,89,82
1594367809,91,76
1594369708,62,93
1594371822,78,89
1594374057,121,75
1594375951,97,77
1594377861,97,83
1594379804,118,125
1594381691,71,127
1594383617,93,169
1594385603,59,139
1594387460,62,113
1594389427,63,68
1594391295,50,83
1594393461,71,113
1594395376,58,65
1594397341,58,84
1594399240,59,87
1594401145,53,81
1594403090,160,72
1594404981,63,87
1594406921,82,122
1594408846,83,103
1594410744,345,151
1594412671,313,104
1594414646,312,100
1594416495,264,88
1594418734,309,90
1594420575,330,72
1594422529,328,62
1594424446,309,68
1594426587,326,98
1594428499,129,80
1594430445,62,79
1594432339,93,65
1594434291,72,110
1594436206,50,112
1594438151,66,86
1594440203,72,88
1594442198,53,72
1594444105,52,68
1594446019,58,98
1594447969,189,89
1594449863,276,82
1594451700,274,74
1594453720,144,87
1594455615,37,61
1594457599,53,69
1594459487,66,92
1594461909,67,87
1594463805,66,73
1594465695,56,71
1594467612,48,70
1594469587,63,69
1594471460,44,63
1594473379,52,175
1594475326,62,60
1594477214,43,53
1594479171,35,44
1594481087,49,58
1594482972,48,53
1594484913,71,58
1594487055,67,56
1594489010,1248,139
1594490905,56,54
1594492857,61,64
1594494765,48,56
1594496663,58,65
1594498574,42,70
1594500560,58,65
1594502429,49,45
1594504354,47,67
1594506289,48,91
1594508181,154,44
1594510097,632,56
1594512223,844,65
1594514209,902,130
1594516099,736,187
1594518012,881,232
1594519965,642,202
1594521861,47,184
1594523785,35,202
1594525723,52,189
1594527633,35,193
1594529535,43,224
1594531473,44,191
1594533384,30,272
1594535325,37,209
1594538472,65,347
1594540338,36,75
1594542265,38,35
1594544235,42,39
1594546101,37,45
1594548304,66,47
1594550188,52,54
1594552125,40,45
1594554017,41,42
1594555938,40,55
1594557901,40,33
1594559781,38,45
1594561706,34,53
1594563668,39,37
1594565593,26,33
1594567497,27,33
1594569388,49,36
1594571350,195,49
1594573520,120,55
1594575466,102,936
1594577302,62,45
