DateTime,AddedIPs,RemovedIPs
1594760403,46,18
1594760522,2,0
1594761722,12,0
1594762399,25,23
1594762921,1,0
1594764242,33,23
1594764721,9,0
1594766162,46,40
1594766521,1,0
1594768922,4,0
1594769581,4,0
1594770121,2,1
1594770721,4,0
1594771322,4,0
1594772161,41,24
1594772521,1,0
1594773181,1,0
1594773721,1,0
1594774082,20,19
1594774321,1,0
1594774921,5,0
1594776121,4,0
1594777321,11,0
1594777922,47,32
1594778521,7,0
1594779722,3,0
1594780921,4,0
1594781762,35,48
1594782122,8,0
1594783321,3,0
1594784522,8,0
1594785604,51,63
1594785722,4,0
1594786921,8,0
1594788721,7,0
1594789682,35,27
1594790522,10,0
1594791601,31,28
1594791721,7,0
1594793522,5,0
1594794121,3,0
1594795321,4,0
1594795682,23,10
1594795921,4,0
1594797722,18,0
1594798921,4,0
1594799763,24,25
1594800121,2,0
1594800722,1,1
1594802522,3,1
1594803122,1,0
1594803609,17,29
1594803721,1,0
1594804921,2,0
1594805522,12,2219
1594806121,6,0
1594806721,1,0
1594807442,2223,0
1594807921,3,0
1594808521,2,0
1594809364,26,17
1594809721,6,0
1594810285,2,0
1594811282,23,28
1594811521,1,0
1594812121,4,0
1594812721,1,0
1594812782,3,0
1594813202,42,30
1594813321,3,0
1594814521,1,0
1594815121,2,0
1594815721,5,0
1594816321,2,0
1594817042,15,23
1594818122,2,0
1594818721,1,0
1594819321,5,0
1594819921,20,0
1594820882,21,20
1594821721,5,0
1594822321,3,0
1594822921,2,0
1594824121,2,0
1594824722,28,20
1594825322,5,0
1594825921,1,0
1594826530,1,0
1594827121,6,0
1594828563,32,25
1594828921,2,0
1594830122,5,0
1594831321,3,0
1594831921,3,0
1594832521,2,0
1594833722,3,0
1594834322,39,42
1594834921,3,0
1594836121,10,1
1594837322,4,0
1594838401,24,23
1594838522,1,0
1594839721,6,0
1594840922,6,0
1594842243,13,19
1594842721,1,0
1594843565,6,0
1594843922,7,0
1594845722,2,0
1594846082,20,18
1594846321,2,0
1594847521,1,0
1594848122,6,0
1594848721,5,0
1594849321,9,0
1594849922,18,22
1594850521,1,1
1594851842,29,18
1594852921,13,0
1594853521,1,0
1594854122,11,0
1594855322,12,0
1594856521,4,0
1594857722,12,0
1594858321,2,0
1594858921,5,0
1594859522,54,40
1594861321,2,0
1594862522,8,0
1594863721,4,0
1594864321,2,0
1594865282,52,32
1594866122,3,0
1594867201,51,49
1594867322,2,0
1594868522,2,0
1594869721,4,0
1594871043,66,57
1594871521,1,0
