DateTime,AddedIPs,RemovedIPs
1594698121,1,0
1594698722,2,0
1594700522,7,0
1594701181,3,0
1594701722,2,0
1594702921,4,0
1594703521,1,0
1594704122,4,0
1594705322,2,0
1594705921,2,0
1594706521,3,1
1594707722,1,0
1594708381,3,0
1594708921,3,0
1594710121,2,0
1594710721,4,0
1594713721,2,0
1594714321,1,0
1594716122,1,0
1594716721,3,0
1594717321,3,0
1594717921,3,0
1594719121,2,0
1594720321,2,0
1594722122,2,0
1594723322,2,0
1594724521,6,0
1594725122,4,0
1594725721,1,0
1594726322,3,0
1594726921,2,0
1594728121,2,0
1594728721,11,0
1594729321,3,0
1594729981,3,0
1594730521,3,0
1594731121,2,0
1594731721,1,0
1594732321,7,0
1594732921,4,0
1594733521,2,2
1594734121,2,0
1594734722,2,0
1594735322,2,0
1594736521,1,0
1594737121,6,0
1594737721,4,0
1594738321,2,0
1594738921,2,1
1594739522,6,0
1594740121,7,0
1594740721,7,1
1594741322,3,0
1594741921,1,0
1594742521,2,0
1594743122,3,0
1594743721,11,0
1594744921,2,0
1594745522,3,0
1594746121,1,0
1594746722,2,1
1594747322,6,0
1594747921,2,0
1594747981,2,0
1594748522,3,0
1594749121,2,0
1594749721,10,0
1594750921,5,0
1594751522,2,0
1594752121,0,1
1594752721,5,0
1594753322,2,0
1594753921,3,0
1594754521,4,0
1594755722,11,1
1594756921,6,0
1594757522,9,0
1594758122,4,0
1594759921,30,0
1594760522,2,0
1594761722,12,0
1594762321,2,0
1594762921,1,0
1594764121,10,0
1594764721,9,0
1594766521,1,0
1594768922,4,0
1594769581,4,0
1594770121,2,1
1594770721,4,0
1594771322,4,0
1594771921,1,0
1594772521,1,0
1594773181,1,0
1594773721,1,0
1594774321,1,0
1594774921,5,0
1594776121,4,0
1594777321,11,0
1594778521,7,0
1594779722,3,0
1594780921,4,0
1594782122,8,0
1594783321,3,0
1594784522,8,0
1594785722,4,0
1594786921,8,0
1594788721,7,0
1594789321,3,0
1594790522,10,0
1594791721,7,0
1594793522,5,0
1594794121,3,0
1594795321,4,0
1594795921,4,0
1594797722,18,0
1594798921,4,0
1594799522,1,0
1594800121,2,0
1594800722,1,1
1594802522,3,1
1594803122,1,0
1594803721,1,0
1594804921,2,0
1594805522,6,0
1594806121,6,0
1594806721,1,0
1594807321,4,0
1594807921,3,0
1594808521,2,0
1594809721,6,0
1594810921,6,2
1594811521,1,0
1594812121,4,0
1594812721,1,0
1594812782,3,0
1594813321,3,0
1594814521,1,0
1594815121,2,0
1594815721,5,0
1594816321,2,0
1594816922,1,0
1594818122,2,0
1594818721,1,0
1594819321,5,0
1594819921,20,0
1594821721,5,0
1594822321,3,0
1594822921,2,0
1594824121,2,0
1594824721,7,0
1594825322,5,0
1594825921,1,0
1594826522,1,0
1594827121,6,0
1594828321,4,1
1594828921,2,0
1594830122,5,0
1594831321,3,0
1594831921,3,0
1594832521,2,0
1594833722,3,0
1594834321,1,0
1594834921,3,0
1594836121,10,1
1594837322,4,0
1594838522,1,0
1594839721,6,0
1594840922,6,0
1594842121,1,0
1594842721,1,0
1594843321,6,0
1594843922,7,0
1594845722,2,0
1594846321,2,0
1594847521,1,0
1594848122,6,0
1594848721,5,0
1594849321,9,0
1594850521,1,1
1594851721,4,0
1594852921,13,0
1594853521,1,0
1594854122,11,0
1594855322,12,0
1594856521,4,0
1594857722,12,0
1594858321,2,0
1594858921,5,0
1594859522,1,0
1594861321,2,0
1594862522,8,0
1594863721,4,0
1594864321,2,0
1594864921,4,0
1594866122,3,0
1594867322,2,0
1594868522,2,0
1594869721,4,0
1594870921,13,0
1594871521,1,0
1594872121,4,0
1594873321,4,0
1594874521,3,0
1594876921,5,0
1594878121,1,0
1594878721,2,0
1594879321,2,0
1594880522,2,0
1594882321,2,0
1594882921,2,0
1594883522,3,0
1594884121,38,0
1594885321,2,0
1594886521,6,0
1594887721,2,0
1594888921,4,0
1594889521,2,0
1594890122,3,0
1594890721,2,0
1594891321,6,0
1594891922,5,0
1594892521,7,0
1594893122,3,0
1594893721,1,0
1594894922,5,0
1594895521,1,0
1594896122,3,0
1594898521,4,0
1594899121,3,0
1594900322,4,0
1594900922,2,0
1594901521,1,0
1594902121,3,0
1594902721,1,0
1594904521,3,0
1594905121,0,1
1594905721,1,0
1594906321,2,0
1594906921,2,1
1594907521,2,0
1594908121,6,0
1594908722,4,0
1594909982,2,0
1594910521,3,0
1594911721,4,0
1594913581,3,0
1594915321,3,0
1594916521,2,0
1594917722,2,1
1594918922,1,0
1594920121,5,0
1594920721,1,0
1594921321,1,0
1594922522,3,1
1594923721,6,0
1594924921,3,0
1594925521,1,0
1594926121,1,0
1594926721,1,0
1594927322,3,0
1594927921,5,0
1594929121,1,0
1594929722,2,1
1594930321,1,0
1594930921,1,0
1594932721,1,0
1594933322,2,0
1594933921,4,0
1594934521,4,0
1594935721,4,0
1594936921,7,1
1594937521,2,0
1594938121,1,0
1594939321,7,0
1594940521,2,0
1594941721,6,0
1594942922,3,0
1594944121,3,0
1594944722,5,0
1594945321,1,0
1594946521,2,0
1594947721,7,0
1594948322,3,0
1594950122,1,0
1594950722,2,0
1594951321,6,0
1594951921,2,0
1594953121,2,0
1594953721,1,0
1594954921,3,0
1594956121,4,1
1594957321,3,0
1594958521,1,0
1594959721,6,0
1594960921,2,2
1594962122,2,0
1594962721,4,0
1594963321,2,0
1594964521,3,0
1594965121,3,0
1594965721,4,0
1594968122,3,0
1594969322,1,0
1594970521,3,0
1594971722,1,0
1594972321,1,0
1594972921,6,0
1594974122,3,0
1594974721,2,0
1594975922,1,0
1594976522,3,0
1594977122,4,0
1594977721,2,0
1594978921,2,0
1594980121,2,0
1594980721,4,0
1594981321,1,0
1594981981,5,0
1594982522,0,1
1594983121,1,0
1594983722,8,0
1594984921,1,0
1594985521,2,0
1594986122,1,0
1594986722,3,0
1594987321,3,1
1594988521,2,0
1594989121,0,1
1594990921,4,0
1594991522,1,0
1594993321,1,0
1594995122,5,0
1594995722,1,0
1594996921,2,0
1594997522,1,0
1594998121,4,0
1594998721,5,0
1594999321,8,0
1595001121,1,0
1595001721,1,0
1595002921,2,0
1595004121,1,0
1595005321,3,0
1595006521,2,10
1595007121,1,0
1595007721,1,0
1595008321,3,0
1595008921,2,1
1595010121,5,0
1595010721,2,0
1595011321,1,0
1595012521,7,0
1595013722,3,0
1595014321,2,0
1595014922,1,0
1595016121,3,0
1595016721,6,0
1595017981,2,0
1595018522,2,0
1595019121,0,1
1595019721,1,0
1595022121,1,0
1595023921,3,0
1595024521,1,0
1595025122,2,0
1595025721,2,0
1595026921,5,0
1595028122,1,0
1595030522,1,0
1595031121,3,0
1595033522,3,0
1595034121,4,0
1595034721,1,0
1595035321,2,0
1595036521,5,0
1595037721,2,0
1595038921,5,0
1595039522,3,0
1595040121,5,0
1595040721,2,1
1595041321,6,0
1595042521,2,0
1595043722,6,0
1595044922,2,0
1595046121,4,0
1595047322,5,0
1595048521,1,0
1595049721,7,0
1595050922,7,1
1595052121,3,0
1595053321,2,0
1595054521,4,0
1595055721,4,0
1595056322,18,0
1595056921,3,0
1595057521,2,0
1595058122,4,0
1595059321,7,0
1595060521,3,0
1595061721,3,2
1595062321,3,0
1595062921,2,0
1595063521,6,0
1595064782,4,0
1595065321,2,0
1595065921,1,0
1595066521,10,0
1595067721,2,0
