DateTime,AddedIPs,RemovedIPs
1594714321,4,26
1594714921,2,4
1594716122,1,3
1594716721,6,0
1594717321,4,1
1594717921,3,3
1594719121,3,1
1594720321,2,19
1594720922,4,4
1594722122,2,4
1594723322,3,6
1594724521,5,3
1594725122,6,0
1594726322,4,5
1594726921,5,0
1594728121,6,4
1594728721,5,0
1594729321,6,3
1594730521,5,0
1594731121,4,2
1594731721,2,0
1594732321,4,10
1594732921,3,7
1594733521,1,7
1594734121,3,3
1594734722,3,1
1594735322,4,0
1594735921,4,1
1594736521,6,8
1594737721,5,2
1594738321,3,4
1594738921,2,4
1594739522,3,0
1594740121,7,0
1594740721,7,1
1594741322,5,4
1594741921,2,0
1594742521,1,23
1594743122,7,0
1594743721,4,0
1594744921,3,0
1594745522,4,0
1594746121,0,2
1594747322,11,5
1594747921,5,0
1594749121,4,3
1594749721,8,5
1594750921,6,0
1594751522,13,0
1594752121,1,0
1594752721,3,0
1594753322,1,20
1594753921,4,0
1594754521,5,1
1594755722,8,4
1594756921,7,1
1594758122,7,8
1594758722,10,0
1594760522,4,15
1594761722,7,7
1594762321,3,0
1594763521,5,4
1594764121,7,0
1594764721,13,11
1594766521,2,1
1594767721,0,3
1594768922,8,19
1594769521,6,0
1594770121,1,3
1594770721,5,0
1594771322,9,2
1594771921,2,0
1594772521,4,1
1594773721,3,4
1594774921,5,3
1594776121,2,5
1594777321,15,19
1594778521,8,2
1594779722,7,0
1594780921,4,1
1594782122,8,2
1594783321,4,4
1594784522,11,14
1594785722,5,1
1594786921,9,2
1594787521,0,22
1594788721,12,6
1594789321,5,4
1594790522,11,0
1594791721,8,6
1594793522,6,6
1594794121,6,0
1594795321,4,16
1594795921,4,0
1594796521,6,7
1594797722,17,10
1594798921,3,1
1594799522,1,0
1594800121,5,0
1594800722,3,4
1594801321,2,6
1594802522,5,4
1594803122,2,0
1594803721,4,4
1594804921,5,4
1594805522,8,10
1594806121,9,1
1594806721,4,0
1594807321,5,0
1594807921,3,0
1594808521,2,1
1594809721,7,5
1594810921,1,17
1594812121,7,4
1594812721,4,0
1594813321,6,2
1594814521,3,2
1594815121,4,0
1594815721,5,0
1594816321,5,10
1594816922,1,0
1594818122,2,3
1594818721,5,5
1594819321,2,5
1594819921,4,0
1594820521,7,0
1594822321,6,4
1594822921,2,4
1594823521,2,4
1594824721,9,3
1594825322,6,0
1594826522,5,8
1594827121,6,0
1594828321,3,6
1594829521,8,16
1594830122,1,2
1594831321,2,1
1594831921,2,2
1594832521,5,10
1594834321,0,1
1594834921,9,6
1594836121,12,13
1594837322,6,0
1594838522,2,4
1594839721,5,9
1594840922,6,10
1594842121,5,4
1594843321,11,12
1594843922,5,1
1594845121,6,1
1594845722,2,0
1594846321,6,13
1594846922,0,4
1594848122,7,5
1594848721,10,7
1594849321,11,0
1594850521,4,21
1594851721,5,18
1594852321,4,0
1594853521,5,5
1594854122,8,4
1594855322,12,0
1594856521,6,2
1594857722,17,19
1594858321,1,0
1594858921,5,2
1594859522,3,0
1594861321,3,14
1594862522,7,3
1594863721,6,15
1594864321,4,0
1594864921,3,11
1594866122,2,4
1594867322,1,0
1594868522,3,5
1594869121,5,10
1594870321,12,2
